0,0,0,1
0,1,0,35
0,2,0,6
1,0,1,none
1,1,1,none
1,2,1,none
2,0,2,none
2,1,2,2
2,2,2,none
3,0,3,none
3,1,3,none
3,2,3,1
4,0,4,none
4,1,4,30
4,2,4,5
5,0,5,3
5,1,5,none
5,2,5,none
6,0,6,none
6,1,6,2
6,2,6,none
7,0,7,42
7,1,7,7
7,2,7,1
8,0,8,none
8,1,8,none
8,2,8,none
9,0,9,3
9,1,9,none
9,2,9,none
10,0,10,10
10,1,10,2
10,2,10,none
11,0,11,none
11,1,11,6
11,2,11,1
12,0,12,none
12,1,12,none
12,2,12,none
13,0,13,2
13,1,13,none
13,2,13,14
14,0,14,none
14,1,14,1
14,2,14,none
15,0,15,30
15,1,15,5
15,2,15,none
16,0,16,none
16,1,16,none
16,2,16,3
17,0,17,2
17,1,17,none
17,2,17,none
18,0,18,7
18,1,18,1
18,2,18,42
19,0,19,none
19,1,19,none
19,2,19,none
20,0,20,none
20,1,20,none
20,2,20,3
21,0,21,2
21,1,21,none
21,2,21,10
22,0,22,6
22,1,22,1
22,2,22,none
23,0,23,none
23,1,23,none
23,2,23,none
24,0,24,none
24,1,24,14
24,2,24,2
25,0,25,1
25,1,25,none
25,2,25,none
26,0,26,5
26,1,26,none
26,2,26,none
27,0,27,none
27,1,27,3
27,2,27,none
28,0,28,none
28,1,28,none
28,2,28,2
29,0,29,1
29,1,29,none
29,2,29,7
30,0,30,none
30,1,30,none
30,2,30,none
31,0,31,none
31,1,31,3
31,2,31,none
32,0,32,none
32,1,32,10
32,2,32,2
33,0,33,1
33,1,33,none
33,2,33,6
34,0,34,none
34,1,34,none
34,2,34,none
35,0,35,14
35,1,35,2
35,2,35,none
36,0,36,none
36,1,36,none
36,2,36,1
37,0,37,none
37,1,37,none
37,2,37,5
38,0,38,3
38,1,38,none
38,2,38,none
39,0,39,none
39,1,39,2
39,2,39,70
40,0,40,none
40,1,40,7
40,2,40,1
41,0,41,none
41,1,41,none
41,2,41,none
42,0,42,3
42,1,42,none
42,2,42,none
43,0,43,10
43,1,43,2
43,2,43,none
44,0,44,none
44,1,44,6
44,2,44,1
45,0,45,none
45,1,45,none
45,2,45,none
46,0,46,2
46,1,46,none
46,2,46,14
47,0,47,none
47,1,47,1
47,2,47,none
48,0,48,none
48,1,48,5
48,2,48,none
49,0,49,none
49,1,49,none
49,2,49,3
50,0,50,2
50,1,50,70
50,2,50,none
51,0,51,7
51,1,51,1
51,2,51,none
52,0,52,none
52,1,52,none
52,2,52,none
53,0,53,none
53,1,53,none
53,2,53,3
54,0,54,2
54,1,54,none
54,2,54,10
55,0,55,6
55,1,55,1
55,2,55,none
56,0,56,none
56,1,56,none
56,2,56,none
57,0,57,none
57,1,57,14
57,2,57,2
58,0,58,1
58,1,58,none
58,2,58,none
59,0,59,5
59,1,59,none
59,2,59,none
60,0,60,none
60,1,60,3
60,2,60,none
61,0,61,none
61,1,61,none
61,2,61,2
62,0,62,1
62,1,62,none
62,2,62,7
63,0,63,5
63,1,63,none
63,2,63,none
64,0,64,none
64,1,64,3
64,2,64,none
65,0,65,none
65,1,65,10
65,2,65,2
66,0,66,1
66,1,66,none
66,2,66,6
67,0,67,none
67,1,67,none
67,2,67,none
68,0,68,14
68,1,68,2
68,2,68,none
69,0,69,none
69,1,69,none
69,2,69,1
70,0,70,none
70,1,70,none
70,2,70,5
71,0,71,3
71,1,71,none
71,2,71,none
72,0,72,none
72,1,72,2
72,2,72,none
73,0,73,none
73,1,73,7
73,2,73,1
74,0,74,none
74,1,74,none
74,2,74,5
75,0,75,3
75,1,75,none
75,2,75,none
76,0,76,10
76,1,76,2
76,2,76,none
77,0,77,none
77,1,77,6
77,2,77,1
78,0,78,none
78,1,78,none
78,2,78,none
79,0,79,2
79,1,79,none
79,2,79,14
