horizon,lockin_well_depth,min_m,min_value,mean_value,smoothness_rindler,smoothness_no_rindler,excitation_score,minima_shells
2,0.12928375680864346,2,0.0,0.1101465331280463,0.060141668533154474,0.07932687227010907,4.0,2
3,0.04423626645379193,3,0.0,0.07550266526154721,0.05701377290929627,0.07090923758101317,3.5,3
4,0.0,4,0.0,0.062303781223668066,0.055278841291665576,0.06573211807480521,3.0,4
5,0.02759022331152392,5,0.0,0.05683064050714585,0.054155145927444595,0.06214742995717744,3.0,5
6,0.046674695230303785,6,0.0,0.05477427323627286,0.053357877359738695,0.05947677795090465,3.0,6
8,0.07172735880993171,8,0.0,0.05494052454107412,0.052285039663518294,0.055691092767980344,3.5,8
10,0.08772905518925514,10,0.0,0.05724286984718543,0.05158342506990348,0.05307844222621774,4.5,10
