116,2,116,none
117,0,117,none
117,1,117,none
117,2,117,none
118,0,118,none
118,1,118,1
118,2,118,none
119,0,119,none
119,1,119,none
119,2,119,none
120,0,120,none
120,1,120,none
120,2,120,none
121,0,121,none
121,1,121,none
121,2,121,none
122,0,122,none
122,1,122,none
122,2,122,none
123,0,123,none
123,1,123,none
123,2,123,none
124,0,124,none
124,1,124,none
124,2,124,none
125,0,125,none
125,1,125,none
125,2,125,none
126,0,126,none
126,1,126,none
126,2,126,none
127,0,127,none
127,1,127,none
127,2,127,none
128,0,128,none
128,1,128,none
128,2,128,none
129,0,129,none
129,1,129,none
129,2,129,none
130,0,130,1
130,1,130,none
130,2,130,none
131,0,131,none
131,1,131,none
131,2,131,none
132,0,132,31
132,1,132,none
132,2,132,none
133,0,133,none
133,1,133,none
133,2,133,none
134,0,134,none
134,1,134,none
134,2,134,none
135,0,135,none
135,1,135,none
135,2,135,none
136,0,136,none
136,1,136,none
136,2,136,none
137,0,137,none
137,1,137,none
137,2,137,none
138,0,138,none
138,1,138,none
138,2,138,none
139,0,139,none
139,1,139,none
139,2,139,none
140,0,140,none
140,1,140,none
140,2,140,none
141,0,141,none
141,1,141,none
141,2,141,none
142,0,142,none
142,1,142,none
142,2,142,1
143,0,143,none
143,1,143,none
143,2,143,none
144,0,144,none
144,1,144,none
144,2,144,none
145,0,145,none
145,1,145,none
145,2,145,none
146,0,146,none
146,1,146,none
146,2,146,none
147,0,147,none
147,1,147,1
147,2,147,none
148,0,148,none
148,1,148,none
148,2,148,none
149,0,149,none
149,1,149,none
149,2,149,none
150,0,150,none
150,1,150,none
150,2,150,none
151,0,151,none
151,1,151,none
151,2,151,none
152,0,152,none
152,1,152,none
152,2,152,none
153,0,153,none
153,1,153,none
153,2,153,none
154,0,154,none
154,1,154,none
154,2,154,none
155,0,155,none
155,1,155,5
155,2,155,none
156,0,156,none
156,1,156,none
156,2,156,none
157,0,157,none
157,1,157,none
157,2,157,none
158,0,158,none
158,1,158,none
158,2,158,none
159,0,159,1
159,1,159,none
159,2,159,none
160,0,160,none
160,1,160,none
160,2,160,none
161,0,161,none
161,1,161,none
161,2,161,none
162,0,162,none
162,1,162,none
162,2,162,none
163,0,163,none
163,1,163,none
163,2,163,none
164,0,164,none
164,1,164,none
164,2,164,none
165,0,165,none
165,1,165,none
165,2,165,none
166,0,166,none
166,1,166,none
166,2,166,none
167,0,167,5
167,1,167,none
167,2,167,none
168,0,168,none
168,1,168,none
168,2,168,none
169,0,169,none
169,1,169,none
169,2,169,none
170,0,170,none
170,1,170,none
170,2,170,none
171,0,171,none
171,1,171,none
171,2,171,1
172,0,172,none
172,1,172,none
172,2,172,none
173,0,173,none
173,1,173,none
173,2,173,none
174,0,174,none
174,1,174,none
174,2,174,none
175,0,175,none
175,1,175,none
175,2,175,none
176,0,176,none
176,1,176,none
176,2,176,none
177,0,177,none
177,1,177,none
177,2,177,none
178,0,178,none
178,1,178,none
178,2,178,none
179,0,179,none
179,1,179,none
179,2,179,5
180,0,180,none
180,1,180,none
180,2,180,25
181,0,181,none
181,1,181,none
181,2,181,none
182,0,182,none
182,1,182,none
182,2,182,none
183,0,183,none
183,1,183,1
183,2,183,none
184,0,184,none
184,1,184,none
184,2,184,none
185,0,185,none
185,1,185,none
185,2,185,none
186,0,186,none
186,1,186,none
186,2,186,none
187,0,187,none
187,1,187,none
187,2,187,none
188,0,188,none
188,1,188,none
188,2,188,none
189,0,189,none
189,1,189,none
189,2,189,none
190,0,190,none
190,1,190,none
190,2,190,none
191,0,191,none
191,1,191,5
191,2,191,none
192,0,192,none
192,1,192,none
192,2,192,none
193,0,193,none
193,1,193,none
193,2,193,none
194,0,194,none
194,1,194,none
194,2,194,none
195,0,195,1
195,1,195,none
195,2,195,none
196,0,196,none
196,1,196,none
196,2,196,none
197,0,197,none
197,1,197,none
197,2,197,none
198,0,198,none
198,1,198,none
198,2,198,none
199,0,199,none
199,1,199,none
199,2,199,none
200,0,200,none
200,1,200,none
200,2,200,none
201,0,201,none
201,1,201,none
201,2,201,none
202,0,202,none
202,1,202,none
202,2,202,none
203,0,203,none
203,1,203,none
203,2,203,none
204,0,204,none
204,1,204,none
204,2,204,none
205,0,205,none
205,1,205,none
205,2,205,none
206,0,206,none
206,1,206,none
206,2,206,none
207,0,207,none
207,1,207,none
207,2,207,1
208,0,208,none
208,1,208,none
208,2,208,none
209,0,209,none
209,1,209,none
209,2,209,31
210,0,210,none
210,1,210,none
210,2,210,none
211,0,211,none
211,1,211,none
211,2,211,none
212,0,212,none
212,1,212,none
212,2,212,none
213,0,213,none
213,1,213,none
213,2,213,none
214,0,214,none
214,1,214,none
214,2,214,none
215,0,215,none
215,1,215,none
215,2,215,none
216,0,216,none
216,1,216,none
216,2,216,none
217,0,217,none
217,1,217,none
217,2,217,none
218,0,218,none
218,1,218,none
218,2,218,none
219,0,219,none
219,1,219,1
219,2,219,none
220,0,220,none
220,1,220,none
220,2,220,none
221,0,221,none
221,1,221,none
221,2,221,none
222,0,222,none
222,1,222,none
222,2,222,none
223,0,223,none
223,1,223,none
223,2,223,none
224,0,224,1
224,1,224,none
224,2,224,none
225,0,225,none
225,1,225,none
225,2,225,none
226,0,226,none
226,1,226,none
226,2,226,none
227,0,227,none
227,1,227,none
227,2,227,none
228,0,228,none
228,1,228,none
228,2,228,none
229,0,229,none
229,1,229,none
229,2,229,none
230,0,230,none
230,1,230,none
230,2,230,none
231,0,231,none
231,1,231,none
231,2,231,none
232,0,232,5
232,1,232,none
232,2,232,none
233,0,233,none
233,1,233,none
233,2,233,none
234,0,234,none
234,1,234,none
234,2,234,none
235,0,235,none
235,1,235,none
235,2,235,none
236,0,236,none
236,1,236,none
236,2,236,1
237,0,237,none
237,1,237,none
237,2,237,none
238,0,238,none
238,1,238,none
238,2,238,none
239,0,239,none
239,1,239,none
239,2,239,none
240,0,240,none
240,1,240,none
240,2,240,none
241,0,241,none
241,1,241,none
241,2,241,none
242,0,242,none
242,1,242,none
242,2,242,none
243,0,243,none
243,1,243,none
243,2,243,none
244,0,244,none
244,1,244,none
244,2,244,5
245,0,245,none
245,1,245,none
245,2,245,none
246,0,246,none
246,1,246,none
246,2,246,none
247,0,247,none
247,1,247,none
247,2,247,none
248,0,248,none
248,1,248,1
248,2,248,none
249,0,249,none
249,1,249,none
249,2,249,none
250,0,250,none
250,1,250,none
250,2,250,none
251,0,251,none
251,1,251,none
251,2,251,none
252,0,252,none
252,1,252,none
252,2,252,none
253,0,253,none
253,1,253,none
253,2,253,none
254,0,254,none
254,1,254,none
254,2,254,none
255,0,255,none
255,1,255,none
255,2,255,none
256,0,256,none
256,1,256,5
256,2,256,none
257,0,257,none
257,1,257,25
257,2,257,none
258,0,258,none
258,1,258,none
258,2,258,none
259,0,259,none
259,1,259,none
259,2,259,none
260,0,260,1
260,1,260,none
260,2,260,none
261,0,261,none
261,1,261,none
261,2,261,none
262,0,262,none
262,1,262,none
262,2,262,none
263,0,263,none
263,1,263,none
263,2,263,none
264,0,264,none
264,1,264,none
264,2,264,none
265,0,265,none
265,1,265,none
265,2,265,none
266,0,266,none
266,1,266,none
266,2,266,none
267,0,267,none
267,1,267,none
267,2,267,none
268,0,268,5
268,1,268,none
268,2,268,none
269,0,269,none
269,1,269,none
269,2,269,none
270,0,270,none
270,1,270,none
270,2,270,none
271,0,271,none
271,1,271,none
271,2,271,none
272,0,272,none
272,1,272,none
272,2,272,1
273,0,273,none
273,1,273,none
273,2,273,none
274,0,274,none
274,1,274,none
274,2,274,none
275,0,275,none
275,1,275,none
275,2,275,none
276,0,276,none
276,1,276,none
276,2,276,none
277,0,277,none
277,1,277,none
277,2,277,none
278,0,278,none
278,1,278,none
278,2,278,none
279,0,279,none
279,1,279,none
279,2,279,none
280,0,280,none
280,1,280,none
280,2,280,none
281,0,281,none
281,1,281,none
281,2,281,none
282,0,282,none
282,1,282,none
282,2,282,none
283,0,283,none
283,1,283,none
283,2,283,none
284,0,284,none
284,1,284,1
284,2,284,none
285,0,285,none
285,1,285,none
285,2,285,none
286,0,286,none
286,1,286,31
286,2,286,none
287,0,287,none
287,1,287,none
287,2,287,none
288,0,288,none
288,1,288,none
288,2,288,none
289,0,289,none
289,1,289,none
289,2,289,none
290,0,290,none
290,1,290,none
290,2,290,none
291,0,291,none
291,1,291,none
291,2,291,none
292,0,292,227
292,1,292,none
292,2,292,none
293,0,293,none
293,1,293,none
293,2,293,none
294,0,294,none
294,1,294,none
294,2,294,none
295,0,295,none
295,1,295,none
295,2,295,none
296,0,296,1
296,1,296,none
296,2,296,none
297,0,297,none
297,1,297,none
297,2,297,none
298,0,298,none
298,1,298,none
298,2,298,none
299,0,299,none
299,1,299,none
299,2,299,none
300,0,300,none
300,1,300,none
300,2,300,none
301,0,301,none
301,1,301,none
301,2,301,1
302,0,302,none
302,1,302,none
302,2,302,none
303,0,303,none
303,1,303,none
303,2,303,none
304,0,304,none
304,1,304,none
304,2,304,none
305,0,305,none
305,1,305,none
305,2,305,none
306,0,306,none
306,1,306,none
306,2,306,none
307,0,307,none
307,1,307,none
307,2,307,none
308,0,308,none
308,1,308,none
308,2,308,none
309,0,309,none
309,1,309,none
309,2,309,5
310,0,310,none
310,1,310,none
310,2,310,none
311,0,311,none
311,1,311,none
311,2,311,none
312,0,312,none
312,1,312,none
312,2,312,none
313,0,313,none
